TK-20260609-0001,BK-20260609-0001,,,Trần Văn An,QR-DD76FC18258C0FC9,180000,3,2026-06-09 10:24:58
TK-20260609-0002,BK-20260609-0001,,,Trần Văn An,QR-80E7AFEE07A2F8D8,180000,3,2026-06-09 10:24:58
TK-20260609-0006,BK-20260609-0003,,,Trần Văn An,QR-E17810C7002567DA,180000,3,2026-06-09 10:31:37
TK-20260609-0007,BK-20260609-0003,,,Trần Văn An,QR-7E9AE603F6060061,180000,3,2026-06-09 10:31:37
TK-20260609-0011,BK-20260609-0005,,,Trần Văn An,QR-B093BE515CF5D471,180000,3,2026-06-09 10:32:13
TK-20260609-0012,BK-20260609-0005,,,Trần Văn An,QR-A29509B810DFE9E2,180000,3,2026-06-09 10:32:13
TK-20260609-0016,BK-20260609-0007,,,Trần Văn An,QR-68CC84889FDEEB68,80000,3,2026-06-09 10:38:50
TK-20260609-0021,BK-20260609-0009,,,Trần Văn An,QR-13F654378C30CA94,80000,3,2026-06-09 17:40:31
TK-20260609-0026,BK-20260609-0011,,,Trần Văn An,QR-5767667ECA87CCA2,225000,3,2026-06-09 17:59:56
TK-20260609-0031,BK-20260609-0013,,,Trần Văn An,QR-22A9057B06E83D3A,180000,1,2026-06-09 20:35:29
TK-20260609-0032,BK-20260609-0013,,,Trần Văn An,QR-234FF3186F922A48,180000,1,2026-06-09 20:35:29
TK-20260611-0036,BK-20260611-0015,,,fsa,QR-356A08FFE66421E4,225000,3,2026-06-11 17:20:13
TK-20260611-0041,BK-20260611-0017,,,fsa,QR-AAB3D76D6F5714FA,80000,3,2026-06-11 17:45:07
TK-20260611-0046,BK-20260611-0019,,,fsa,QR-C6CFE344F77F403B,270000,3,2026-06-11 18:00:06
TK-20260611-0051,BK-20260611-0021,,,fsa,QR-116D6C437FF2E192,180000,3,2026-06-11 18:42:06
TK-20260611-0056,BK-20260611-0023,,,fsa,QR-6E72A456BE201A5B,270000,3,2026-06-11 18:42:35
TK-20260611-0061,BK-20260611-0025,,,fsa,QR-CAF39DE60E1CB86B,150000,3,2026-06-11 18:43:02
TK-20260612-0066,BK-20260612-0027,,,fsa,QR-D7CB4CBDEE68D982,150000,3,2026-06-12 08:25:33
TK-20260612-0071,BK-20260612-0029,,,fsa,QR-6C7EBDFD79EBF42E,150000,1,2026-06-12 08:26:33
TK-20260612-0076,BK-20260612-0031,,,fsa,QR-9E3C20ECEDA152BF,100000,1,2026-06-12 08:30:16
TK-20260612-0081,BK-20260612-0033,,,fsa,QR-126912A5F3995DAA,150000,3,2026-06-12 09:38:33
TK-20260612-0086,BK-20260612-0035,,,fsa,QR-AAA755D9394BAFD5,150000,3,2026-06-12 09:39:06
TK-20260612-0091,BK-20260612-0037,,,fsa,QR-77CF926416735B58,150000,3,2026-06-12 09:51:33
TK-20260612-0092,BK-20260612-0037,,,fsa,QR-55E061F55E846752,100000,3,2026-06-12 09:51:33
TK-20260612-0096,BK-20260612-0039,,,fsa,QR-983585442FC328C8,180000,3,2026-06-12 09:52:03
TK-20260612-0101,BK-20260612-0041,,,fsa,QR-88C5899A4BD71D51,160000,3,2026-06-12 09:52:16
TK-20260612-0106,BK-20260612-0043,,,fsa,QR-18AFC028D3E1B149,150000,3,2026-06-12 10:01:49
TK-20260612-0111,BK-20260612-0045,,,fsa,QR-560A120660C93AF1,150000,3,2026-06-12 10:12:43
TK-20260612-0116,BK-20260612-0047,,,fsa,QR-B9FD364240F603C4,120000,3,2026-06-12 10:13:16
TK-20260612-0121,BK-20260612-0049,,,fsa,QR-3B6686CDB7317734,150000,3,2026-06-12 10:53:50
TK-20260612-0126,BK-20260612-0051,,,fsa,QR-39119C6A97377C68,80000,3,2026-06-12 10:54:23
TK-20260612-0131,BK-20260612-0053,,,fsa,QR-41645174DB93FBFB,150000,3,2026-06-12 10:55:08
TK-20260613-0136,BK-20260613-0055,,,fsa,QR-5A2C681A0A109DA4,150000,3,2026-06-13 16:15:46
